postcode,population,active,cases,rate,new,band,data_date,file_processed_date
3000,37979,237,500,624,22,6,16/10/2021,17/10/2021
3001,0,0,0,0,0,0,16/10/2021,17/10/2021
3002,4957,10,30,201.7,0,5,16/10/2021,17/10/2021
3003,5516,34,129,616.4,2,6,16/10/2021,17/10/2021
3004,9311,29,123,311.5,0,5,16/10/2021,17/10/2021
3005,523,0,0,0,0,0,16/10/2021,17/10/2021
3006,18811,70,199,372.1,4,5,16/10/2021,17/10/2021
3008,10438,46,149,440.7,2,5,16/10/2021,17/10/2021
3010,1595,0,0,0,0,0,16/10/2021,17/10/2021
3011,21464,140,385,652.3,5,6,16/10/2021,17/10/2021
3012,26295,138,396,524.8,6,6,16/10/2021,17/10/2021
3013,14967,25,154,167,4,4,16/10/2021,17/10/2021
3015,17472,53,226,303.3,4,5,16/10/2021,17/10/2021
3016,15558,31,94,199.3,2,4,16/10/2021,17/10/2021
3018,12685,26,89,205,0,5,16/10/2021,17/10/2021
3019,9199,80,242,869.7,3,6,16/10/2021,17/10/2021
3020,44784,345,1056,770.4,24,6,16/10/2021,17/10/2021
3021,54190,443,1369,817.5,26,6,16/10/2021,17/10/2021
3022,3102,13,130,419.1,0,5,16/10/2021,17/10/2021
3023,63974,521,1454,814.4,34,6,16/10/2021,17/10/2021
3024,23852,198,551,830.1,18,6,16/10/2021,17/10/2021
3025,12155,81,689,666.4,9,6,16/10/2021,17/10/2021
3026,72,57,198,79166.7,9,7,16/10/2021,17/10/2021
3027,6650,35,174,526.3,1,6,16/10/2021,17/10/2021
3028,29198,193,493,661,9,6,16/10/2021,17/10/2021
3029,93946,904,3162,962.3,103,6,16/10/2021,17/10/2021
3030,100311,577,1729,575.2,65,6,16/10/2021,17/10/2021
3031,18533,53,461,286,5,5,16/10/2021,17/10/2021
3032,29449,130,452,441.4,2,5,16/10/2021,17/10/2021
3033,14512,68,223,468.6,2,5,16/10/2021,17/10/2021
3034,11633,62,219,533,4,6,16/10/2021,17/10/2021
3036,5921,44,106,743.1,0,6,16/10/2021,17/10/2021
3037,51156,498,1364,973.5,31,6,16/10/2021,17/10/2021
3038,27258,221,474,810.8,7,6,16/10/2021,17/10/2021
3039,14252,43,205,301.7,3,5,16/10/2021,17/10/2021
3040,25939,93,363,358.5,1,5,16/10/2021,17/10/2021
3041,12412,54,155,435.1,4,5,16/10/2021,17/10/2021
3042,15762,79,207,501.2,5,6,16/10/2021,17/10/2021
3043,17715,117,357,660.5,14,6,16/10/2021,17/10/2021
3044,27116,174,523,641.7,6,6,16/10/2021,17/10/2021
3045,100,0,0,0,0,0,16/10/2021,17/10/2021
3046,34061,387,1586,1136.2,20,7,16/10/2021,17/10/2021
3047,20901,477,1696,2282.2,29,7,16/10/2021,17/10/2021
3048,18025,418,1398,2319,12,7,16/10/2021,17/10/2021
3049,9266,79,297,852.6,6,6,16/10/2021,17/10/2021
3050,119,0,1,0,0,0,16/10/2021,17/10/2021
3051,14939,70,350,468.6,5,5,16/10/2021,17/10/2021
3052,5697,12,126,210.6,1,5,16/10/2021,17/10/2021
3053,18538,64,244,345.2,9,5,16/10/2021,17/10/2021
3054,8426,9,73,106.8,1,4,16/10/2021,17/10/2021
3055,14160,54,175,381.4,3,5,16/10/2021,17/10/2021
3056,24475,98,276,400.4,11,5,16/10/2021,17/10/2021
3057,11502,31,108,269.5,3,5,16/10/2021,17/10/2021
3058,33783,168,623,497.3,7,5,16/10/2021,17/10/2021
3059,15466,188,753,1215.6,16,7,16/10/2021,17/10/2021
3060,14040,168,716,1196.6,5,7,16/10/2021,17/10/2021
3061,5059,78,419,1541.8,7,7,16/10/2021,17/10/2021
3062,0,0,1,0,0,0,16/10/2021,17/10/2021
3063,574,1,12,174.2,0,4,16/10/2021,17/10/2021
3064,75458,1498,5528,1985.2,72,7,16/10/2021,17/10/2021
3065,10447,76,220,727.5,10,6,16/10/2021,17/10/2021
3066,8512,30,144,352.4,3,5,16/10/2021,17/10/2021
3067,8199,27,74,329.3,1,5,16/10/2021,17/10/2021
